claim_index,url,claim,parameter,context,range_id,source_ids,status,action_required
3188,programmatic/hot-tubs/hot-tub-chemicals-for-600-gallons.html,Test often Get exact spa dosing Open Hot Tub Chlorine Calculator Go deeper Advanced: Free vs total chlorine explained Edge case: How often to shock a pool Related Pool Chemistry Guides Related in this topic Why Is My Hot Tub Foamy Hot tub chemicals — 200 gal Hot tub chemicals — 300 gal Hot tub chemi…,total_chlorine,unspecified_env/chlorine,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
3189,programmatic/hot-tubs/hot-tub-chemicals-for-600-gallons.html,Test sanitizer and pH balance.,ph,unspecified_env/unspecified_sanitizer,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
3190,programmatic/hot-tubs/hot-tub-chemicals-for-600-gallons.html,"What This Means A 600-gallon hot tub holds far less water than a pool, so each bather, product, and top-off changes sanitizer and pH much faster.",ph,unspecified_env/unspecified_sanitizer,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
3191,programmatic/hot-tubs/hot-tub-chemicals-for-600-gallons.html,The reference table on this page estimates chlorine from 0 ppm at your volume; real dosing must follow your latest test strip or meter reading.,(none),unmatched,,,AMBIGUOUS,Non-chemistry or unmatched editorial content; no parameter-level classification applies.
3192,programmatic/hot-tubs/hot-tub-chemicals-for-600-gallons.html,"Many spas target higher free chlorine than pools while in use, but exact targets depend on whether you use chlorine, bromine, or a mineral system—always follow equipment and chemical labels for your setup.",free_chlorine,unspecified_env/bromine,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
3193,programmatic/hot-tubs/hot-tub-chemicals-for-600-gallons.html,Recommended Levels Free chlorine (spas): 3–5 ppm Common pH: 7.2–7.8 (check label/equipment) Total alkalinity: follow spa manufacturer guidance What Happens If Levels Are Off Too little sanitizer in a spa allows bacteria and biofilm risk in pipes and surfaces—often before water looks bad.,ph,hot_tub/chlorine,,,REQUIRES_REVIEW,Numeric value (3-5) does not overlap any canonical range for ph in this context (closest candidates: range-ph-hottub-chlorine-routine) -- flag for the consistency matrix as a possible contradiction candidate.
3194,programmatic/hot-tubs/hot-tub-chemicals-for-600-gallons.html,That is why frequent testing matters more in hot tubs than in large pools.,(none),unmatched,,,AMBIGUOUS,Non-chemistry or unmatched editorial content; no parameter-level classification applies.
3195,programmatic/hot-tubs/hot-tub-chemicals-for-600-gallons.html,"Too much chlorine or mis-dosed shock can damage covers, irritate skin, and create unsafe soak conditions.",(none),unmatched,,,AMBIGUOUS,Non-chemistry or unmatched editorial content; no parameter-level classification applies.
3196,programmatic/hot-tubs/hot-tub-chemicals-for-600-gallons.html,Small volumes mean overdosing happens easily if you confuse pool and spa strengths.,(none),unmatched,,,AMBIGUOUS,Non-chemistry or unmatched editorial content; no parameter-level classification applies.
3197,programmatic/hot-tubs/hot-tub-chemicals-for-600-gallons.html,Ignoring pH while chasing sanitizer leads to uncomfortable water and can damage heaters and seals.,ph,unspecified_env/unspecified_sanitizer,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
3198,programmatic/hot-tubs/index.html,Programmatic Programmatic Hot Tub Hub Programmatic hot tub chemistry pages organized by spa volume.,(none),unmatched,,,AMBIGUOUS,Non-chemistry or unmatched editorial content; no parameter-level classification applies.
3199,programmatic/hot-tubs/index.html,Featured Content Hot Tub Chemicals for 200 Gallons (Dosing Guide) | Pool Water Chemistry Guide Sanitizer dosing for a 200-gallon spa.,sanitizer,unspecified_env/unspecified_sanitizer,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
3200,programmatic/hot-tubs/index.html,Get exact chlorine reference and calculators—safe hot tub water chemistry.,(none),unmatched,,,AMBIGUOUS,Non-chemistry or unmatched editorial content; no parameter-level classification applies.
3201,programmatic/hot-tubs/index.html,Hot Tub Chemicals for 300 Gallons (Dosing Guide) | Pool Water Chemistry Guide Sanitizer dosing for a 300-gallon spa.,sanitizer,unspecified_env/unspecified_sanitizer,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
3202,programmatic/hot-tubs/index.html,Get exact chlorine reference and calculators—safe hot tub water chemistry.,(none),unmatched,,,AMBIGUOUS,Non-chemistry or unmatched editorial content; no parameter-level classification applies.
3203,programmatic/hot-tubs/index.html,Hot Tub Chemicals for 400 Gallons (Dosing Guide) | Pool Water Chemistry Guide Sanitizer dosing for a 400-gallon spa.,sanitizer,unspecified_env/unspecified_sanitizer,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
3204,programmatic/hot-tubs/index.html,Get exact chlorine reference and calculators—safe hot tub water chemistry.,(none),unmatched,,,AMBIGUOUS,Non-chemistry or unmatched editorial content; no parameter-level classification applies.
3205,programmatic/hot-tubs/index.html,Hot Tub Chemicals for 500 Gallons (Dosing Guide) | Pool Water Chemistry Guide Sanitizer dosing for a 500-gallon spa.,sanitizer,unspecified_env/unspecified_sanitizer,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
3206,programmatic/hot-tubs/index.html,Get exact chlorine reference and calculators—safe hot tub water chemistry.,(none),unmatched,,,AMBIGUOUS,Non-chemistry or unmatched editorial content; no parameter-level classification applies.
3207,programmatic/hot-tubs/index.html,Hot Tub Chemicals for 600 Gallons (Dosing Guide) | Pool Water Chemistry Guide Sanitizer dosing for a 600-gallon spa.,sanitizer,unspecified_env/unspecified_sanitizer,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
3208,programmatic/hot-tubs/index.html,Get exact chlorine reference and calculators—safe hot tub water chemistry.,(none),unmatched,,,AMBIGUOUS,Non-chemistry or unmatched editorial content; no parameter-level classification applies.
3209,programmatic/hot-tubs/index.html,Category Cards Hot Tub Chemicals for 200 Gallons (Dosing Guide) | Pool Water Chemistry Guide Browse hot tub chemicals for 200 gallons content.,(none),unmatched,,,AMBIGUOUS,Non-chemistry or unmatched editorial content; no parameter-level classification applies.
3210,programmatic/hot-tubs/index.html,Hot Tub Chemicals for 300 Gallons (Dosing Guide) | Pool Water Chemistry Guide Browse hot tub chemicals for 300 gallons content.,(none),unmatched,,,AMBIGUOUS,Non-chemistry or unmatched editorial content; no parameter-level classification applies.
3211,programmatic/hot-tubs/index.html,Hot Tub Chemicals for 400 Gallons (Dosing Guide) | Pool Water Chemistry Guide Browse hot tub chemicals for 400 gallons content.,(none),unmatched,,,AMBIGUOUS,Non-chemistry or unmatched editorial content; no parameter-level classification applies.
3212,programmatic/hot-tubs/index.html,Hot Tub Chemicals for 500 Gallons (Dosing Guide) | Pool Water Chemistry Guide Browse hot tub chemicals for 500 gallons content.,(none),unmatched,,,AMBIGUOUS,Non-chemistry or unmatched editorial content; no parameter-level classification applies.
3213,programmatic/index.html,"How Often to Shock a Pool (Weekly Guide) | Pool Water Chemistry Guide Shock on a smart schedule—after parties, storms, or algae risk.",algae,pool/unspecified_sanitizer,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
3214,programmatic/index.html,How Often to Test Pool Water (Simple Schedule) | Pool Water Chemistry Guide Test chlorine and pH several times weekly—catch drift before it becomes a costly fix.,ph,pool/chlorine,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
3215,programmatic/index.html,When to Add Chlorine to a Pool (Best Time) | Pool Water Chemistry Guide Add chlorine when readings fall below target—often evening dosing reduces UV loss.,(none),unmatched,,,AMBIGUOUS,Non-chemistry or unmatched editorial content; no parameter-level classification applies.
3216,programmatic/index.html,Programmatic Chlorine Hub Programmatic chlorine dosing pages grouped by volume and scenario.,(none),unmatched,,,AMBIGUOUS,Non-chemistry or unmatched editorial content; no parameter-level classification applies.
3217,programmatic/index.html,"How Much Chlorine for 10000 Gallon Pool (Exact Dose) | Pool Water Chemistry Guide Get exact ounces for a 10,000-gallon pool.",(none),unmatched,,,AMBIGUOUS,Non-chemistry or unmatched editorial content; no parameter-level classification applies.
3218,programmatic/index.html,Use the free calculator and avoid over-chlorination—safe dosing fast.,(none),unmatched,,,AMBIGUOUS,Non-chemistry or unmatched editorial content; no parameter-level classification applies.
3219,programmatic/index.html,"How Much Chlorine for 12000 Gallon Pool (Exact Dose) | Pool Water Chemistry Guide Get exact ounces for a 12,000-gallon pool.",(none),unmatched,,,AMBIGUOUS,Non-chemistry or unmatched editorial content; no parameter-level classification applies.
3220,programmatic/index.html,Use the free calculator and avoid over-chlorination—safe dosing fast.,(none),unmatched,,,AMBIGUOUS,Non-chemistry or unmatched editorial content; no parameter-level classification applies.
3221,programmatic/index.html,"How Much Chlorine for 15000 Gallon Pool (Exact Dose) | Pool Water Chemistry Guide Get exact ounces for a 15,000-gallon pool.",(none),unmatched,,,AMBIGUOUS,Non-chemistry or unmatched editorial content; no parameter-level classification applies.
3222,programmatic/index.html,Use the free calculator and avoid over-chlorination—safe dosing fast.,(none),unmatched,,,AMBIGUOUS,Non-chemistry or unmatched editorial content; no parameter-level classification applies.
3223,programmatic/index.html,Programmatic Hot Tub Hub Browse hot tubs content.,(none),unmatched,,,AMBIGUOUS,Non-chemistry or unmatched editorial content; no parameter-level classification applies.
3224,programmatic/index.html,Programmatic pH Hub Browse ph content.,ph,unspecified_env/unspecified_sanitizer,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
3225,programmatic/index.html,Programmatic Shock Hub Browse shock content.,(none),unmatched,,,AMBIGUOUS,Non-chemistry or unmatched editorial content; no parameter-level classification applies.
